date,channel_id,category_id,supplier_id,status,revenue,cost,commission,count
1/1/2020,1,21,8,1,1743785,1743055,52314,9
1/1/2020,2,6,3,1,682885,682065,0,2
1/1/2020,2,4,3,0,510830,509720,0,25
1/1/2020,2,4,3,1,513910,513156,0,19
1/1/2020,3,19,19,1,130290,45817,0,39
1/1/2020,3,4,3,1,1582900,1469050,0,3822
1/1/2020,3,4,3,0,685875,674315,0,490
1/2/2020,1,8,7,1,16810,108400,0,371
1/2/2020,1,5,12,1,1497440,1503975,0,6
1/2/2020,1,4,1,1,665385,664161,0,3
1/2/2020,1,15,20,1,656420,656940,6564,2
1/2/2020,1,9,21,1,935930,935210,0,1
1/2/2020,1,6,3,1,1890035,1697755,0,1085
1/2/2020,1,4,6,0,796255,786195,0,16
1/2/2020,1,19,19,1,609640,524650,18290,71
1/2/2020,1,4,6,1,1484560,793620,0,1610
1/2/2020,1,8,3,1,470910,-80558,0,912
1/2/2020,1,12,11,1,652745,617145,0,6
1/2/2020,1,8,7,0,1811265,1621492,18113,82
1/2/2020,1,9,8,1,1542730,1519625,0,16
1/2/2020,1,2,1,1,1605435,1605435,0,1
1/2/2020,1,7,5,1,1491695,1493585,29830,13
1/2/2020,1,4,3,1,455440,119808,0,6278
1/2/2020,1,17,18,1,256145,256145,0,656
1/2/2020,1,5,14,1,1745075,1742485,52350,30
1/2/2020,1,9,20,1,596085,557891,0,21
1/2/2020,1,6,7,0,58550,59950,0,5
1/2/2020,1,7,5,0,852095,863753,0,10
1/2/2020,1,5,14,0,1456225,1455075,0,3
1/2/2020,1,6,3,0,601700,589870,18051,80
1/2/2020,1,16,16,1,914075,889325,27420,6
1/2/2020,1,6,7,1,493835,493535,0,1
1/2/2020,1,4,7,1,1181995,1186625,0,347
1/2/2020,1,18,4,1,1725620,1725620,51770,16
1/2/2020,1,15,15,1,873345,889185,26200,17
1/2/2020,1,21,8,1,1121305,1071265,33639,19
1/2/2020,1,8,3,0,936925,962749,9370,121
1/2/2020,1,3,2,1,769560,769410,7696,2
1/2/2020,1,5,4,1,1127485,1177365,0,120
1/2/2020,1,9,17,1,1665045,1657895,0,6
1/2/2020,1,1,1,0,782145,781655,0,3
1/2/2020,1,11,10,1,651410,651480,0,2
1/2/2020,1,4,3,0,1973535,1933892,0,139
1/2/2020,1,10,9,1,331835,402708,0,175
1/2/2020,1,1,9,1,219250,218050,2193,138
1/2/2020,1,8,6,1,188180,49100,0,209
1/2/2020,1,14,13,1,1698275,1593335,0,48
1/2/2020,1,4,1,0,1346470,1352361,26929,276
1/2/2020,1,1,3,1,1509860,1541712,0,1428
1/2/2020,1,4,7,0,1729750,1738970,34600,180
1/2/2020,1,8,6,0,1486010,1485609,0,2
1/2/2020,1,8,1,0,1146500,1144262,11465,4
1/2/2020,2,4,3,1,1986390,1995500,0,169
1/2/2020,2,6,3,1,129740,132419,0,15
1/2/2020,2,4,3,0,32275,32308,320,1
1/2/2020,4,9,8,1,861265,861355,0,1
1/2/2020,4,15,15,1,573220,573600,5730,1
1/2/2020,3,19,19,1,700455,540951,0,91
1/2/2020,3,4,3,1,483965,113527,4840,7862
1/2/2020,3,4,3,0,1798045,1802323,35961,614
1/2/2020,3,1,3,1,1903090,1903090,0,1
1/2/2020,3,3,2,1,772175,772295,0,1
1/3/2020,1,14,13,1,1926490,1931920,0,61
1/3/2020,1,5,14,1,827970,824120,0,8
1/3/2020,1,15,22,1,549040,547280,5490,2
1/3/2020,1,8,1,0,587710,587660,0,4
1/3/2020,1,20,20,1,1072610,1065132,0,2
1/3/2020,1,6,7,0,1641075,1640885,0,12
1/3/2020,1,8,7,0,42270,23687,423,69
1/3/2020,1,16,16,1,894040,851240,0,11
1/3/2020,1,19,4,1,888395,888395,0,3
1/3/2020,1,4,1,0,1825105,1674405,0,99
1/3/2020,1,5,12,1,1783695,1771209,0,17
1/3/2020,1,10,9,1,1801305,1942245,54039,216
1/3/2020,1,2,1,1,790085,790185,15800,10
1/3/2020,1,6,3,1,1736905,1669775,0,472
1/3/2020,1,1,3,1,195660,346128,0,1443
1/3/2020,1,4,3,1,1260615,1477256,0,5141
1/3/2020,1,15,20,1,215840,216280,2160,1
1/3/2020,1,21,8,0,765840,760540,15317,6
1/3/2020,1,8,7,1,1650520,1350214,33010,728
1/3/2020,1,3,2,1,1073715,1056385,10737,16
1/3/2020,1,4,3,0,1555780,1530750,0,231
1/3/2020,1,12,11,1,153370,140770,3070,16
1/3/2020,1,21,8,1,583105,566748,0,21
1/3/2020,1,4,7,1,1662190,1641573,0,156
1/3/2020,1,1,1,0,424480,423670,0,7
1/3/2020,1,8,3,1,138905,106175,4167,473
1/3/2020,1,8,6,0,74210,74438,0,4
1/3/2020,1,19,19,1,664425,511950,6644,107
1/3/2020,1,1,9,1,209925,206755,4199,141
1/3/2020,1,6,3,0,1241040,1229580,0,31
1/3/2020,1,5,4,1,176255,96935,0,40
1/3/2020,1,18,4,1,1039645,1039645,0,18
1/3/2020,1,9,17,1,542995,545695,5430,5
1/3/2020,1,4,6,1,283475,-1290065,8500,923
1/3/2020,1,9,21,1,421370,421685,0,1
1/3/2020,1,4,7,0,100045,140655,3000,153
1/3/2020,1,8,6,1,1054850,960370,0,180
1/3/2020,1,15,15,1,560630,573370,0,7
1/3/2020,1,9,20,1,1735200,1690980,0,23
1/3/2020,1,17,18,0,9090,9090,270,6
1/3/2020,1,7,5,1,1179770,1178330,11800,2
1/3/2020,1,1,2,1,135300,135290,1350,1
1/3/2020,1,9,8,1,1309045,1270775,0,54
1/3/2020,1,4,23,1,1099385,1099385,0,8
1/3/2020,1,8,3,0,1315170,1286785,13152,98
1/3/2020,1,22,21,1,1127535,1127423,22550,2
1/3/2020,1,11,10,1,214725,215325,4295,1
1/3/2020,1,17,18,1,963530,963530,9640,612
1/3/2020,1,4,1,1,501670,499600,10030,4
1/3/2020,1,7,5,0,1597675,1597675,0,35
1/3/2020,2,6,3,0,1279710,1279680,0,12
1/3/2020,2,1,3,1,1049245,1048985,0,6
1/3/2020,2,4,3,0,1687240,1686180,0,9
1/3/2020,2,4,3,1,1912080,1917640,0,162
1/3/2020,2,6,3,1,713780,693399,0,132
1/3/2020,4,9,8,1,4515,4665,90,3
1/3/2020,3,19,19,1,1609045,1458223,0,106
1/3/2020,3,3,2,1,576370,543090,0,22
1/3/2020,3,4,3,0,207450,223746,2070,489
1/3/2020,3,4,3,1,1603035,1705155,0,7988
1/4/2020,1,8,6,1,1331165,1365314,26620,175
1/4/2020,1,14,13,1,375690,328190,0,66
1/4/2020,1,4,7,0,762440,785230,0,85
1/4/2020,1,4,3,0,998905,1013620,0,115
1/4/2020,1,4,7,1,1860345,1833741,0,306
1/4/2020,1,17,18,1,1129185,1129185,22584,756
1/4/2020,1,6,3,1,870070,689780,26102,622
1/4/2020,1,4,1,0,113485,193585,3400,104
1/4/2020,1,1,3,1,571275,354425,17138,1429
1/4/2020,1,7,5,1,101965,102295,0,41
1/4/2020,1,3,2,1,785580,757465,23567,13
1/4/2020,1,18,4,1,1129940,1129940,11300,13
1/4/2020,1,1,9,1,1523760,1521410,0,129
1/4/2020,1,4,6,1,442375,-476735,0,907
1/4/2020,1,12,11,1,41520,42820,0,4
1/4/2020,1,8,6,0,689815,691863,0,8
1/4/2020,1,5,12,1,909825,974605,27295,13
1/4/2020,1,4,3,1,609930,-675320,18300,4755
1/4/2020,1,7,24,1,1221990,1221010,0,2
1/4/2020,1,8,3,0,157680,72208,0,80
1/4/2020,1,4,6,0,340375,339577,10211,1
1/4/2020,1,9,17,0,654865,655825,19646,2
1/4/2020,1,6,7,0,341270,332582,6830,8
1/4/2020,1,21,8,0,846800,843660,0,1
1/4/2020,1,9,20,1,517120,441880,10340,18
1/4/2020,1,20,20,1,1894960,1897948,56849,2
1/4/2020,1,8,1,0,1847760,1847670,0,1
1/4/2020,1,9,8,1,1824180,1791350,0,20
1/4/2020,1,6,3,0,1197760,1204400,0,35
1/4/2020,1,2,1,1,804185,804251,0,9
1/4/2020,1,10,9,1,1645935,1581945,0,218
1/4/2020,1,8,3,1,715370,629605,14310,1161
1/4/2020,1,8,7,1,7650,-36110,230,274
1/4/2020,1,9,17,1,1199155,1203655,0,14
1/4/2020,1,15,15,1,760105,737305,22800,10
1/4/2020,1,13,4,1,1664150,1662650,49925,2
1/4/2020,1,1,1,0,83475,83275,0,1
1/4/2020,1,16,16,1,1933515,1902435,0,12
1/4/2020,1,6,7,1,286840,287620,5740,3
1/4/2020,1,21,8,1,855575,819135,0,13
1/4/2020,1,10,9,0,420940,416975,4209,2
1/4/2020,1,8,7,0,1277175,1252455,0,20
1/4/2020,1,22,21,1,1932045,1932005,38641,2
1/4/2020,1,5,14,1,157425,156385,0,9
1/4/2020,1,19,19,1,27325,-31575,547,50
1/4/2020,1,15,20,1,600920,601620,0,5
1/4/2020,1,5,4,1,1105955,1074345,0,31
1/4/2020,2,4,3,1,295005,306717,2950,269
1/4/2020,2,4,3,0,1908185,1907015,0,16
1/4/2020,2,8,7,0,277165,278277,5543,2
1/4/2020,2,6,3,0,1451335,1439650,43540,46
1/4/2020,2,6,3,1,534455,566205,0,919
1/4/2020,4,9,8,1,992700,982080,0,10
1/4/2020,3,4,3,1,524220,369710,0,12864
1/4/2020,3,19,19,1,1133375,1028045,0,66
1/4/2020,3,3,2,1,1940950,1905640,19410,25
1/4/2020,3,4,3,0,1523305,1497635,0,888
1/5/2020,1,8,6,1,1646140,1710930,0,218
1/5/2020,1,8,6,0,1465620,1461410,14656,6
1/5/2020,1,9,20,1,1657340,1580294,16573,17
1/5/2020,1,21,8,1,972605,986603,29180,11
1/5/2020,1,1,1,0,1751850,1751710,0,6
1/5/2020,1,15,20,1,1157315,1154815,34719,1
1/5/2020,1,5,14,1,1643365,1641719,0,7
1/5/2020,1,1,3,0,1928520,1928420,0,2
1/5/2020,1,8,7,0,653565,656955,0,27
1/5/2020,1,9,8,1,1099945,1068605,0,38
1/5/2020,1,14,13,1,328595,302505,0,47
1/5/2020,1,1,2,1,427920,427664,0,2
1/5/2020,1,14,25,1,666015,667970,19980,1
1/5/2020,1,17,18,0,287745,287745,0,17
1/5/2020,1,17,18,1,111180,111180,0,490
1/5/2020,1,1,9,1,987165,984442,0,95
1/5/2020,1,22,21,1,40475,40440,0,1
1/5/2020,1,5,12,1,726065,718515,0,6
1/5/2020,1,8,7,1,1900955,1406846,0,482
1/5/2020,1,6,3,0,143735,129305,2870,76
1/5/2020,1,10,9,1,1308275,1295335,39250,178
1/5/2020,1,5,4,1,631940,380480,18960,48
1/5/2020,1,4,1,1,356065,354875,0,3
1/5/2020,1,16,16,1,754220,746269,0,13
1/5/2020,1,6,3,1,1170750,1217210,11710,524
1/5/2020,1,4,1,0,985245,944415,0,115
1/5/2020,1,4,7,0,1102480,1093671,0,253
1/5/2020,1,9,17,1,113650,116490,1137,4
1/5/2020,1,13,4,1,346720,344120,0,1
1/5/2020,1,9,21,1,538110,537065,0,1
1/5/2020,1,12,11,1,337810,340310,0,5
1/5/2020,1,10,9,0,817625,818593,24529,2
1/5/2020,1,4,6,1,195725,-599495,0,761
1/5/2020,1,6,7,1,508840,510015,0,7
1/5/2020,1,1,3,1,1534365,1648075,46030,1890
1/5/2020,1,3,2,1,204855,192780,0,27
1/5/2020,1,9,17,0,1234500,1234540,12345,2
1/5/2020,1,7,5,1,781630,774650,7820,6
1/5/2020,1,8,1,0,74550,74924,750,3
1/5/2020,1,19,19,1,1673480,1520020,50204,48
1/5/2020,1,6,7,0,1806705,1797463,0,7
1/5/2020,1,7,5,0,382280,366830,3823,31
1/5/2020,1,4,3,0,1535160,1537421,0,126
1/5/2020,1,4,7,1,1855045,1821062,18550,223
1/5/2020,1,8,3,0,463515,456105,13905,13
1/5/2020,1,3,2,0,579925,584745,0,6
1/5/2020,1,18,4,1,1360665,1360665,0,9
1/5/2020,1,4,3,1,750490,-534721,0,9086
1/5/2020,1,8,3,1,678020,831920,20340,623
1/5/2020,1,15,15,1,1776655,1766975,0,11
1/5/2020,2,4,3,0,1283010,1283231,0,14
1/5/2020,2,6,3,0,1623045,1621245,32460,45
1/5/2020,2,4,3,1,1799610,1804232,35990,223
1/5/2020,2,8,7,0,39305,39077,390,1
1/5/2020,2,5,4,1,11255,11091,225,1
1/5/2020,2,8,3,1,976845,977315,0,1
1/5/2020,2,1,3,1,1327695,1328273,13277,9
1/5/2020,2,6,3,1,1227280,1165177,24546,345
1/5/2020,4,9,8,0,1114165,1112835,0,4
1/5/2020,4,9,8,1,1627670,1626095,0,4
1/5/2020,3,4,3,1,1223925,868876,0,7134
1/5/2020,3,19,19,1,1942340,1924290,19420,50
1/5/2020,3,4,3,0,22930,10916,690,409
1/5/2020,3,3,2,0,463085,464583,0,4
1/5/2020,3,3,2,1,1137710,1148995,0,21
1/6/2020,1,17,18,1,351045,351045,0,644
1/6/2020,1,21,8,1,1089970,1055310,0,23
1/6/2020,1,10,9,1,1331195,1492185,0,284
1/6/2020,1,15,22,1,1432545,1431465,14330,1
1/6/2020,1,5,12,1,1146460,1145460,11460,6
1/6/2020,1,19,4,0,1024625,1024625,10246,1
1/6/2020,1,8,3,1,125660,120072,0,692
1/6/2020,1,4,6,1,192675,-1467562,5780,1636
1/6/2020,1,20,22,1,1085505,1084625,0,1
1/6/2020,1,4,3,0,1697755,1684225,50933,114
1/6/2020,1,19,19,1,1119615,1120915,33590,68
1/6/2020,1,1,1,0,564500,563700,0,27
1/6/2020,1,16,16,1,1232945,1213383,12330,16
1/6/2020,1,8,1,0,861870,861210,25860,4
1/6/2020,1,8,7,0,468300,445500,14049,77
1/6/2020,1,1,9,1,1903800,1904490,19038,202
1/6/2020,1,8,3,0,1204585,1253425,0,24
1/6/2020,1,5,14,1,72055,71955,0,7
1/6/2020,1,4,6,0,1947705,1948735,0,3
1/6/2020,1,8,7,1,562320,810470,0,395
1/6/2020,1,9,17,1,814130,808070,16283,9
1/6/2020,1,19,19,0,1027000,1025910,20540,1
1/6/2020,1,9,21,1,55290,53790,1659,2
1/6/2020,1,15,15,1,708130,708130,0,9
1/6/2020,1,10,9,0,1731725,1731075,0,1
1/6/2020,1,9,20,1,1244800,1149760,37344,30
1/6/2020,1,2,1,1,1972915,1973395,0,7
1/6/2020,1,18,4,1,1391240,1391240,13910,14
1/6/2020,1,19,4,1,543240,543240,10860,4
1/6/2020,1,3,2,1,1430005,1442005,28600,16
1/6/2020,1,1,3,1,390980,249980,0,1241
1/6/2020,1,4,1,0,544860,602640,0,99
1/6/2020,1,9,17,0,1541420,1542210,0,1
1/6/2020,1,6,3,0,547090,549220,16413,20
1/6/2020,1,4,7,0,596000,579800,0,214
1/6/2020,1,12,11,1,1266935,1254035,0,7
1/6/2020,1,23,21,1,946825,952015,0,12
1/6/2020,1,4,7,1,1302200,1310410,0,242
1/6/2020,1,15,20,1,855255,854855,0,1
1/6/2020,1,8,6,1,1653730,1622110,0,143
1/6/2020,1,6,7,0,1062300,1061820,10620,4
1/6/2020,1,4,1,1,1249890,1250013,0,1
1/6/2020,1,14,13,1,502360,502360,0,90
1/6/2020,1,4,3,1,1270920,240477,0,8234
1/6/2020,1,6,3,1,1425550,1449180,42770,517
1/6/2020,1,5,4,1,992455,966066,0,30
1/6/2020,1,7,24,1,565335,571185,0,10
1/6/2020,1,20,20,1,921335,923185,0,1
1/6/2020,1,7,5,0,1038015,1060965,0,59
1/6/2020,1,9,8,1,651040,593850,0,26
1/6/2020,1,17,18,0,1723095,1723095,51693,10
1/6/2020,2,1,3,1,1327070,1327170,0,3
1/6/2020,2,4,3,0,1395605,1395150,0,5
1/6/2020,2,6,3,1,872085,871820,0,18
1/6/2020,2,6,3,0,1763725,1761889,0,7
1/6/2020,2,4,3,1,612535,593711,0,217
1/6/2020,4,21,8,1,1536870,1538030,0,2
1/6/2020,4,9,8,1,943455,915720,0,24
1/6/2020,5,4,3,1,1521550,1522390,30431,3
1/6/2020,3,4,3,1,1087580,1013640,0,8087
1/6/2020,3,3,2,1,811885,787665,24357,38
1/6/2020,3,23,21,1,1120465,1116323,0,17
1/6/2020,3,4,3,0,73505,78447,740,384
1/6/2020,3,19,19,1,1107375,877553,11074,154
1/7/2020,1,16,16,1,1353925,1349296,13539,11
1/7/2020,1,14,25,1,1469395,1471405,44082,1
1/7/2020,1,8,6,0,1712250,1711980,51368,1
1/7/2020,1,4,1,1,784625,784402,0,4
1/7/2020,1,4,7,0,276815,211062,0,123
1/7/2020,1,1,9,1,1921625,1929345,38433,863
1/7/2020,1,9,21,1,1841530,1840540,18420,3
1/7/2020,1,19,4,1,1584810,1584810,47544,4
1/7/2020,1,5,12,1,1324335,1324625,0,8
1/7/2020,1,20,20,1,1104755,1095645,0,6
1/7/2020,1,4,6,0,1799160,1794550,17992,2
1/7/2020,1,17,18,1,1727685,-33065535,51830,557
1/7/2020,1,4,3,0,1650255,1618885,0,165
1/7/2020,1,8,7,1,1045795,776664,0,344
1/7/2020,1,18,4,1,1026025,1026025,30781,20
1/7/2020,1,4,3,1,318840,55910,6380,5439
1/7/2020,1,8,7,0,934095,914275,0,56
1/7/2020,1,1,2,1,197690,197460,0,3
1/7/2020,1,22,21,1,467445,467355,14020,5
1/7/2020,1,8,3,1,1968710,1752770,19687,694
1/7/2020,1,7,5,1,1700150,1725610,0,32
1/7/2020,1,4,6,1,1678145,1372015,0,805
1/7/2020,1,9,8,1,1575925,1538005,31519,28
1/7/2020,1,1,1,0,1050735,1049725,0,20
1/7/2020,1,21,8,1,367725,349530,11030,23
1/7/2020,1,10,9,1,1135845,904725,0,214
1/7/2020,1,8,3,0,1658505,1656725,16590,23
1/7/2020,1,6,3,0,839680,840710,25190,18
1/7/2020,1,5,14,1,1606275,1612663,16063,29
1/7/2020,1,3,2,1,1466275,1451025,0,20
1/7/2020,1,15,15,1,826875,828915,0,12
1/7/2020,1,4,1,0,386310,389761,0,82
1/7/2020,1,20,22,1,835155,834565,0,1
1/7/2020,1,6,7,0,1280165,1277165,0,3
1/7/2020,1,5,4,1,1338450,1255870,26769,40
1/7/2020,1,14,13,1,1371520,1241840,0,65
1/7/2020,1,2,1,1,19920,19948,600,2
1/7/2020,1,12,11,1,917070,917070,27512,6
1/7/2020,1,9,20,1,1787965,1737143,35760,21
1/7/2020,1,8,6,1,1281530,1128350,12815,126
1/7/2020,1,19,19,1,1024755,963308,0,77
1/7/2020,1,23,21,1,1940425,1936989,0,17
1/7/2020,1,9,17,1,236005,229945,0,6
1/7/2020,1,15,22,1,213190,211610,0,1
1/7/2020,1,1,3,1,492470,483575,0,959
1/7/2020,1,4,7,1,301060,269810,9032,160
1/7/2020,1,14,13,0,1058945,1057835,0,1
1/7/2020,1,6,3,1,1643505,1476605,0,1006
1/7/2020,1,7,5,0,37230,17600,0,38
1/7/2020,1,17,18,0,1243430,-7716470,0,11
1/7/2020,2,4,3,0,1966005,1962433,19660,15
1/7/2020,2,1,3,1,812280,812559,24368,3
1/7/2020,2,4,3,1,1114335,1102785,0,275
1/7/2020,2,6,3,1,1540860,1530430,46226,38
1/7/2020,2,6,3,0,1547840,1547470,0,17
1/7/2020,4,21,8,1,1284330,1283889,38530,1
1/7/2020,4,15,15,0,290250,287930,0,1
1/7/2020,4,9,8,1,889240,866710,0,12
1/7/2020,4,23,21,1,1874605,1873415,0,2
1/7/2020,3,3,2,1,44685,63248,447,43
1/7/2020,3,4,3,0,272445,255785,0,348
1/7/2020,3,23,21,1,687325,688905,20620,22
1/7/2020,3,19,19,1,1129130,895054,0,147
1/7/2020,3,4,3,1,1677260,1425996,0,11678
1/8/2020,1,4,7,1,1755475,1722195,35110,275
1/8/2020,1,4,6,1,1883665,1174895,18837,745
1/8/2020,1,9,8,1,92065,71480,0,41
1/8/2020,1,18,4,1,1523295,1523295,30466,15
1/8/2020,1,15,20,1,772040,776240,0,3
1/8/2020,1,6,7,0,1064440,1063160,31933,3
1/8/2020,1,17,18,1,46110,46110,0,736
1/8/2020,1,1,9,1,1067900,1064518,0,400
1/8/2020,1,4,7,0,1460365,1439371,0,223
1/8/2020,1,7,5,1,766480,728570,0,16
1/8/2020,1,14,25,1,1257140,1256315,0,1
1/8/2020,1,19,19,1,140060,240380,0,55
1/8/2020,1,4,1,1,1914445,1914689,38289,5
1/8/2020,1,1,3,1,733810,721570,22010,1097
1/8/2020,1,4,1,0,909435,957335,0,128
1/8/2020,1,3,2,1,1460470,1461020,0,4
1/8/2020,1,7,5,0,1821200,1831662,0,29
1/8/2020,1,10,9,0,820245,819215,0,1
1/8/2020,1,4,3,1,81920,70673,819,4974
1/8/2020,1,14,13,1,997385,786965,0,84
1/8/2020,1,16,16,1,403465,383135,0,8
1/8/2020,1,5,4,1,192030,125470,5760,17
1/8/2020,1,5,12,1,588185,588295,0,5
1/8/2020,1,9,20,1,403540,311670,12110,15
1/8/2020,1,12,11,1,1338115,1344315,13381,9
1/8/2020,1,2,1,1,1712815,1713065,0,6
1/8/2020,1,8,7,0,1672125,1664745,50164,63
1/8/2020,1,14,25,0,209080,209430,6270,2
1/8/2020,1,8,3,0,174345,177095,0,16
1/8/2020,1,8,7,1,1972355,1919415,0,335
1/8/2020,1,19,4,1,59445,59445,1189,2
1/8/2020,1,4,3,0,1463095,1411525,14631,108
1/8/2020,1,6,3,0,1004270,1004900,10040,27
1/8/2020,1,9,17,1,1301840,1307420,0,6
1/8/2020,1,21,8,1,28220,16784,280,18
1/8/2020,1,4,6,0,491805,490785,9840,1
1/8/2020,1,17,18,0,214495,214495,0,14
1/8/2020,1,8,1,0,1774030,1773940,0,9
1/8/2020,1,1,1,0,1928375,1928745,19280,4
1/8/2020,1,23,21,1,1553165,1556045,0,8
1/8/2020,1,10,9,1,1248580,912785,0,344
1/8/2020,1,5,14,1,848940,847520,0,9
1/8/2020,1,15,15,1,1599230,1599470,47980,4
1/8/2020,1,8,3,1,1863570,1942788,0,1020
1/8/2020,1,8,6,1,949795,921629,28494,129
1/8/2020,1,6,3,1,389455,233915,0,462
1/8/2020,1,3,2,0,619625,620305,0,1
1/8/2020,2,8,3,1,1391430,1391640,0,1
1/8/2020,2,6,3,0,354295,352005,0,18
1/8/2020,2,4,3,0,539270,539292,0,8
1/8/2020,2,4,3,1,1359040,1333470,0,507
1/8/2020,2,1,3,1,382645,382371,0,4
1/8/2020,2,6,3,1,1173940,1157210,23479,51
1/8/2020,4,21,8,1,1993490,1988350,39870,4
1/8/2020,4,9,8,1,998620,965300,0,48
1/8/2020,4,15,15,1,1665505,1661845,33310,3
1/8/2020,3,23,21,1,1990625,1986401,0,8
1/8/2020,3,4,3,1,1471475,1317725,29430,10037
1/8/2020,3,19,19,1,923475,739555,9230,122
1/8/2020,3,3,2,1,355630,318542,0,23
1/8/2020,3,4,3,0,93615,106755,1870,420
1/9/2020,1,21,8,1,398075,313197,0,20
1/9/2020,1,4,7,0,534410,507856,10688,113
1/9/2020,1,23,21,0,200125,200365,0,5
1/9/2020,1,5,12,1,1143640,1134540,0,7
1/9/2020,1,5,4,1,886695,722795,0,29
1/9/2020,1,17,18,1,120320,120320,2406,559
1/9/2020,1,9,8,1,196890,168810,1969,21
1/9/2020,1,15,15,1,1482370,1482250,0,9
1/9/2020,1,12,11,1,1500075,1500075,45002,3
1/9/2020,1,15,20,1,923760,922520,0,3
1/9/2020,1,8,3,1,1358540,1279520,0,1074
1/9/2020,1,6,7,0,1440675,1439831,0,2
1/9/2020,1,4,6,1,1685985,1487365,16860,1458
1/9/2020,1,14,25,0,940800,940230,0,1
1/9/2020,1,10,9,1,1735020,1730830,0,186
1/9/2020,1,8,3,0,1008755,958027,20180,42
1/9/2020,1,14,25,1,1735530,1738130,0,1
1/9/2020,1,1,2,1,1592905,1592715,0,1
1/9/2020,1,7,5,0,1139485,1142361,0,25
1/9/2020,1,8,1,0,1488155,1487745,0,2
1/9/2020,1,3,2,1,1573145,1565540,0,19
1/9/2020,1,4,3,0,190210,192300,0,148
1/9/2020,1,19,19,1,264010,155062,5280,68
1/9/2020,1,14,13,1,1858655,1912625,0,161
1/9/2020,1,9,20,1,1787025,1703075,0,18
1/9/2020,1,6,3,0,25675,34155,0,66
1/9/2020,1,7,24,1,1099935,1104935,0,4
1/9/2020,1,4,3,1,1730970,1095950,0,5033
1/9/2020,1,8,6,1,1597620,1418406,0,143
1/9/2020,1,8,7,0,1928405,1756339,0,141
1/9/2020,1,7,5,1,933725,904865,0,24
1/9/2020,1,23,21,1,1124290,1117900,33730,7
1/9/2020,1,5,14,1,1999875,2003725,0,7
1/9/2020,1,8,7,1,196905,211415,0,211
1/9/2020,1,17,18,0,946610,946610,0,6
1/9/2020,1,10,9,0,1799060,1792030,53970,2
1/9/2020,1,18,4,1,749470,749470,0,11
1/9/2020,1,4,7,1,723350,699293,0,135
1/9/2020,1,20,20,1,665520,665472,0,2
1/9/2020,1,9,17,1,1988345,1988715,19883,2
1/9/2020,1,19,4,1,1103855,1103855,0,12
1/9/2020,1,1,3,1,119415,-33103,0,1145
1/9/2020,1,1,9,1,1137870,1135540,34140,511
1/9/2020,1,13,16,1,1869605,1870299,37392,1
1/9/2020,1,4,1,0,1011385,749216,0,113
1/9/2020,1,6,3,1,1870965,1630725,18710,527
1/9/2020,1,16,16,1,12155,-5785,365,7
1/9/2020,2,8,3,1,1574645,1574645,0,3
1/9/2020,2,6,3,0,575955,572805,0,13
1/9/2020,2,4,3,1,1831305,1821995,0,250
